,Player,Pos,FantasyPts,Att,Cmp,Yds,PassTD,Int,2Pt,RushAtt,RushYds,RushTDs,2Pt.1,Rec,RecYds,RecTD,2Pt.2,FL,TD,CalcFantasyPoints,FantasyVariance,Name
202,"Marqise Lee, Jax",WR,104,1,1,20,1,0,0,6,35,0,0,63,851,3,0,1,0,119.8,0.8681135225375626,"lee, marqise"
203,"Stefon Diggs, Min",WR,103,0,0,0,0,0,0,3,10,0,0,84,903,3,0,0,0,75.8,1.358839050131926,"diggs, stefon"
204,"J.J. Nelson, Ari",WR,99,0,0,0,0,0,0,4,83,1,0,34,568,6,0,1,0,108.7,0.9107635694572217,"nelson, j.j."
205,"Anquan Boldin, Det",WR,99,0,0,0,0,0,0,0,0,0,0,67,584,8,0,0,0,129.0,0.7674418604651163,"boldin, anquan"
206,"Dontrelle Inman, SD",WR,98,0,0,0,0,0,0,0,0,0,0,58,810,4,0,0,0,81.9,1.1965811965811965,"inman, dontrelle"
207,"Taylor Gabriel, Atl",WR,98,0,0,0,0,0,0,4,51,1,0,35,579,6,0,0,0,122.3,0.8013082583810303,"gabriel, taylor"
208,"Ted Ginn Jr., Car",WR,97,0,0,0,0,0,0,14,98,0,0,54,752,4,0,2,0,108.2,0.8964879852125693,ginn ted
209,"DeVante Parker, Mia",WR,92,0,0,0,0,0,0,0,0,0,0,56,744,4,0,0,0,104.4,0.8812260536398467,"parker, devante"
210,"Jordan Matthews, Phi",WR,91,0,0,0,0,0,0,0,0,0,0,73,804,3,0,0,0,96.8,0.9400826446280992,"matthews, jordan"
211,"Brandon Marshall, NYJ",WR,89,0,0,0,0,0,0,0,0,0,0,59,788,3,0,0,0,100.1,0.8891108891108892,"marshall, brandon"
212,"Alshon Jeffery, Chi",WR,89,0,0,0,0,0,0,0,0,0,0,52,821,2,0,0,0,46.8,1.9017094017094018,"jeffery, alshon"
213,"Ty Montgomery, GB",WR,88,0,0,0,0,0,0,77,457,3,0,44,348,0,0,1,0,131.7,0.6681852695520122,"montgomery, ty"
214,"Chris Hogan, NE",WR,85,0,0,0,0,0,0,3,9,0,0,38,680,4,0,1,0,90.2,0.942350332594235,"hogan, chris"
215,"Mohamed Sanu, Atl",WR,84,0,0,0,0,0,0,1,5,0,0,59,653,4,1,1,0,85.5,0.9824561403508771,"sanu, mohamed"
216,"Randall Cobb, GB",WR,83,0,0,0,0,0,0,10,33,0,0,60,610,4,0,0,0,95.0,0.8736842105263158,"cobb, randall"
217,"Travis Benjamin, SD",WR,82,1,0,0,0,0,0,2,-3,0,0,47,677,4,0,3,0,74.6,1.0991957104557641,"benjamin, travis"
218,"Tavon Austin, LA",WR,79,0,0,0,0,0,0,28,159,1,0,58,509,3,0,1,0,106.6,0.7410881801125704,"austin, tavon"
219,"Jeremy Kerley, SF",WR,78,0,0,0,0,0,0,0,0,0,0,64,667,3,0,1,0,77.4,1.0077519379844961,"kerley, jeremy"
220,"Terrance Williams, Dal",WR,77,0,0,0,0,0,0,0,0,0,0,44,594,4,0,1,0,83.7,0.9199522102747909,"williams, terrance"
221,"Tyler Lockett, Sea",WR,75,0,0,0,0,0,0,6,114,1,0,41,597,1,0,0,0,72.2,1.038781163434903,"lockett, tyler"
222,"Michael Floyd, Ari",WR,73,0,0,0,0,0,0,0,0,0,0,37,488,5,0,0,0,89.4,0.8165548098434003,"floyd, michael"
223,"Eli Rogers, Pit",WR,72,0,0,0,0,0,0,1,6,0,0,48,594,3,0,0,0,82.1,0.876979293544458,"rogers, eli"
224,"Will Fuller, Hou",WR,70,0,0,0,0,0,0,1,-3,0,0,47,635,2,0,0,0,42.4,1.650943396226415,"fuller, will"
225,"Donte Moncrief, Ind",WR,69,0,0,0,0,0,0,1,-1,0,0,30,307,7,0,0,0,100.6,0.6858846918489065,"moncrief, donte"
226,"Robby Anderson, NYJ",WR,69,0,0,0,0,0,0,3,42,0,0,42,587,2,0,1,0,72.6,0.9504132231404959,"anderson, robby"
227,"Brian Quick, LA",WR,68,0,0,0,0,0,0,0,0,0,0,41,564,3,0,0,0,80.2,0.8478802992518703,"quick, brian"
228,"Adam Humphries, TB",WR,68,0,0,0,0,0,0,5,18,0,0,55,622,2,1,0,0,53.5,1.2710280373831775,"humphries, adam"
229,"Seth Roberts, Oak",WR,66,0,0,0,0,0,0,0,0,0,0,38,397,5,2,0,0,91.3,0.7228915662650602,"roberts, seth"
230,"Robert Woods, Buf",WR,63,0,0,0,0,0,0,1,6,0,0,51,613,1,0,0,0,56.5,1.1150442477876106,"woods, robert"
231,"Breshad Perriman, Bal",WR,63,0,0,0,0,0,0,1,2,0,0,33,499,3,0,0,0,78.5,0.802547770700637,"perriman, breshad"
232,"Tyler Boyd, Cin",WR,62,0,0,0,0,0,0,4,58,0,0,54,603,1,0,1,0,59.5,1.0420168067226891,"boyd, tyler"
233,"Allen Hurns, Jax",WR,61,0,0,0,0,0,0,0,0,0,0,35,477,3,0,0,0,71.6,0.8519553072625698,"hurns, allen"
234,"Jeremy Maclin, KC",WR,60,1,0,0,0,0,0,1,-1,0,0,44,536,2,0,0,0,63.6,0.9433962264150944,"maclin, jeremy"
235,"John Brown, Ari",WR,60,0,0,0,0,0,0,1,10,0,0,39,517,2,0,0,0,53.1,1.1299435028248588,"brown, john"
236,"Malcolm Mitchell, NE",WR,59,0,0,0,0,0,0,0,0,0,0,32,401,4,0,0,0,76.8,0.7682291666666667,"mitchell, malcolm"
237,"Phillip Dorsett, Ind",WR,59,0,0,0,0,0,0,2,10,0,0,33,528,2,0,0,0,71.6,0.8240223463687152,"dorsett, phillip"
238,"Victor Cruz, NYG",WR,58,0,0,0,0,0,0,0,0,0,0,39,586,1,0,1,0,58.2,0.9965635738831614,"cruz, victor"
239,"Tajae Sharpe, Ten",WR,57,0,0,0,0,0,0,1,1,0,0,41,522,2,0,0,0,53.7,1.0614525139664803,"sharpe, tajae"
240,"Kendall Wright, Ten",WR,56,0,0,0,0,0,0,1,15,0,0,29,416,3,0,0,0,62.6,0.8945686900958466,"wright, kendall"
241,"Marquise Goodwin, Buf",WR,56,0,0,0,0,0,0,0,0,0,0,29,431,3,0,0,0,55.1,1.0163339382940109,"goodwin, marquise"
242,"Devin Funchess, Car",WR,55,0,0,0,0,0,0,0,0,0,0,23,371,4,1,0,0,65.3,0.8422664624808576,"funchess, devin"
243,"Corey Coleman, Cle",WR,54,0,0,0,0,0,0,2,10,0,0,33,413,3,0,0,0,62.0,0.8709677419354839,"coleman, corey"
244,"Sammy Watkins, Buf",WR,53,0,0,0,0,0,0,0,0,0,0,28,430,2,0,0,0,55.5,0.954954954954955,"watkins, sammy"
245,"Sammie Coates, Pit",WR,52,0,0,0,0,0,0,4,14,0,0,21,435,2,0,0,0,58.7,0.8858603066439522,"coates, sammie"
246,"Cordarrelle Patterson, Min",WR,50,0,0,0,0,0,0,7,43,0,0,52,453,2,0,0,0,67.3,0.7429420505200595,"patterson, cordarrelle"
247,"Jermaine Kearse, Sea",WR,49,0,0,0,0,0,0,0,0,0,0,41,510,1,0,0,0,42.9,1.1421911421911422,"kearse, jermaine"
248,"Eddie Royal, Chi",WR,47,0,0,0,0,0,0,0,0,0,0,33,369,2,0,0,0,39.9,1.1779448621553885,"royal, eddie"
249,"Albert Wilson, KC",WR,46,0,0,0,0,0,0,2,50,1,0,31,279,2,0,0,0,76.0,0.6052631578947368,"wilson, albert"
250,"Chris Conley, KC",WR,46,0,0,0,0,0,0,0,0,0,0,44,530,0,0,0,0,39.2,1.173469387755102,"conley, chris"
251,"Dorial Green-Beckham, Phi",WR,45,0,0,0,0,0,0,0,0,0,0,36,392,2,0,0,0,48.5,0.9278350515463918,"green-beckham, dorial"
252,"Nelson Agholor, Phi",WR,45,0,0,0,0,0,0,5,14,0,0,36,365,2,1,0,0,45.8,0.9825327510917031,"agholor, nelson"
253,"Andrew Hawkins, Cle",WR,44,0,0,0,0,0,0,2,0,0,0,33,324,3,0,0,0,42.3,1.0401891252955084,"hawkins, andrew"
254,"Danny Amendola, NE",WR,43,0,0,0,0,0,0,0,0,0,0,23,243,4,0,1,0,50.7,0.8481262327416174,"amendola, danny"
255,"Torrey Smith, SF",WR,40,0,0,0,0,0,0,0,0,0,0,20,267,3,0,0,0,52.1,0.7677543186180422,"smith, torrey"
256,"Russell Shepard, TB",WR,40,0,0,0,0,0,0,1,9,0,0,23,341,2,0,0,0,45.2,0.8849557522123893,"shepard, russell"
257,"Aldrick Robinson, Atl",WR,39,0,0,0,0,0,0,0,0,0,0,20,323,2,0,0,0,30.9,1.2621359223300972,"robinson, aldrick"
258,"Justin Hunter, Buf",WR,39,0,0,0,0,0,0,0,0,0,0,10,189,4,0,0,0,44.3,0.8803611738148984,"hunter, justin"
259,"Justin Hardy, Atl",WR,39,0,0,0,0,0,0,0,0,0,0,21,203,4,0,0,0,24.0,1.625,"hardy, justin"
