,Player,Pos,FantasyPts,Att,Cmp,Yds,PassTD,Int,2Pt,RushAtt,RushYds,RushTDs,2Pt.1,Rec,RecYds,RecTD,2Pt.2,FL,TD,CalcFantasyPoints,FantasyVariance,Name
99,"C.J. Anderson, Den",RB,80,0,0,0,0,0,0,110,437,4,0,16,128,1,0,0,0,125.1,0.639488409272582,"anderson, c.j."
100,"Duke Johnson, Cle",RB,79,1,0,0,0,0,0,73,358,1,0,53,514,0,0,1,0,53.6,1.4738805970149254,"johnson, duke"
101,"DeAngelo Williams, Pit",RB,77,0,0,0,0,0,0,98,343,4,0,18,118,2,0,0,0,89.7,0.8584169453734671,"williams, deangelo"
102,"Jalen Richard, Oak",RB,77,0,0,0,0,0,0,83,491,1,0,29,194,2,0,0,0,98.3,0.7833163784333672,"richard, jalen"
103,"T.J. Yeldon, Jax",RB,76,0,0,0,0,0,0,130,465,1,0,50,312,1,0,1,0,92.1,0.8251900108577633,"yeldon, t.j."
104,"Giovani Bernard, Cin",RB,75,0,0,0,0,0,0,91,337,2,0,39,336,1,0,1,0,69.6,1.0775862068965518,"bernard, giovani"
105,"Robert Turbin, Ind",RB,73,0,0,0,0,0,0,47,164,7,0,26,179,1,0,0,0,90.7,0.804851157662624,"turbin, robert"
106,"Shaun Draughn, SF",RB,73,0,0,0,0,0,0,74,196,4,0,29,263,2,0,1,0,65.4,1.1162079510703362,"draughn, shaun"
107,"Jacquizz Rodgers, TB",RB,68,0,0,0,0,0,0,129,560,2,0,13,98,0,0,0,0,86.6,0.7852193995381063,"rodgers, jacquizz"
108,"Chris Ivory, Jax",RB,68,0,0,0,0,0,0,117,439,3,0,20,186,0,0,3,0,81.5,0.8343558282208589,"ivory, chris"
109,"Zach Zenner, Det",RB,67,0,0,0,0,0,0,88,334,4,0,18,196,0,0,1,0,70.8,0.9463276836158192,"zenner, zach"
110,"Doug Martin, TB",RB,67,0,0,0,0,0,0,144,421,3,0,14,134,0,0,1,0,76.3,0.8781127129750983,"martin, doug"
111,"Kenneth Dixon, Bal",RB,65,0,0,0,0,0,0,88,382,2,0,30,162,1,0,0,0,63.5,1.0236220472440944,"dixon, kenneth"
112,"Matt Jones, Was",RB,64,0,0,0,0,0,0,99,460,3,0,8,73,0,0,2,0,88.9,0.7199100112485939,"jones, matt"
113,"Damien Williams, Mia",RB,60,0,0,0,0,0,0,35,115,3,0,23,249,3,0,1,0,59.0,1.0169491525423728,"williams, damien"
114,"DeAndre Washington, Oak",RB,59,0,0,0,0,0,0,87,467,2,0,17,115,0,0,1,0,68.3,0.8638360175695462,"washington, deandre"
115,"Thomas Rawls, Sea",RB,56,0,0,0,0,0,0,109,349,3,0,13,96,0,0,0,0,71.7,0.7810320781032077,"rawls, thomas"
116,"Charcandrick West, KC",RB,55,0,0,0,0,0,0,88,293,1,0,28,188,2,0,0,0,63.5,0.8661417322834646,"west, charcandrick"
117,"Paul Perkins, NYG",RB,51,0,0,0,0,0,0,112,456,0,0,15,162,0,0,0,0,60.1,0.848585690515807,"perkins, paul"
118,"Rex Burkhead, Cin",RB,51,0,0,0,0,0,0,74,344,2,0,17,145,0,0,1,0,60.6,0.8415841584158416,"burkhead, rex"
119,"Jeremy Langford, Chi",RB,47,0,0,0,0,0,0,62,200,4,0,19,142,0,0,2,0,72.1,0.651872399445215,"langford, jeremy"
120,"Travaris Cadet, NO",RB,47,0,0,0,0,0,0,4,19,0,0,40,281,4,0,0,0,29.9,1.5719063545150502,"cadet, travaris"
121,"Alfred Blue, Hou",RB,43,0,0,0,0,0,0,100,420,1,0,12,40,0,0,1,0,70.7,0.6082036775106082,"blue, alfred"
122,"Jamize Olawale, Oak",RB,41,0,0,0,0,0,0,17,47,2,0,12,227,1,0,0,0,43.5,0.9425287356321839,"olawale, jamize"
123,"C.J. Prosise, Sea",RB,39,0,0,0,0,0,0,30,172,1,0,17,208,0,0,0,0,45.8,0.8515283842794761,"prosise, c.j."
124,"Fozzy Whittaker, Car",RB,38,0,0,0,0,0,0,57,265,0,0,25,226,0,0,1,0,45.5,0.8351648351648352,"whittaker, fozzy"
125,"Charles Sims, TB",RB,38,0,0,0,0,0,0,51,149,1,0,24,190,1,0,1,0,32.4,1.1728395061728396,"sims, charles"
126,"Wendell Smallwood, Phi",RB,36,0,0,0,0,0,0,77,312,1,0,6,55,0,0,1,0,40.0,0.9,"smallwood, wendell"
127,"Eddie Lacy, GB",RB,36,0,0,0,0,0,0,71,360,0,0,4,28,0,0,0,0,44.5,0.8089887640449438,"lacy, eddie"
128,"Justin Forsett, Den",RB,36,0,0,0,0,0,0,87,291,1,0,20,85,0,0,1,0,48.5,0.7422680412371134,"forsett, justin"
129,"James Starks, GB",RB,33,0,0,0,0,0,0,63,145,0,0,19,134,2,0,0,0,33.5,0.9850746268656716,"starks, james"
130,"John Kuhn, NO",RB,32,0,0,0,0,0,0,18,37,4,0,16,70,1,0,0,0,39.9,0.8020050125313284,"kuhn, john"
131,"Dwayne Washington, Det",RB,31,0,0,0,0,0,0,90,265,1,0,10,62,0,0,0,0,37.1,0.8355795148247979,"washington, dwayne"
132,"Aaron Ripkowski, GB",RB,31,0,0,0,0,0,0,34,150,2,0,9,46,1,0,0,0,34.1,0.9090909090909091,"ripkowski, aaron"
133,"Alfred Morris, Dal",RB,31,0,0,0,0,0,0,69,243,2,0,3,11,0,0,0,0,45.7,0.6783369803063457,"morris, alfred"
134,"Dion Lewis, NE",RB,31,0,0,0,0,0,0,64,283,0,0,17,94,0,0,0,0,54.9,0.5646630236794171,"lewis, dion"
135,"Kyle Juszczyk, Bal",RB,30,0,0,0,0,0,0,5,22,1,0,37,266,0,1,0,0,11.7,2.5641025641025643,"juszczyk, kyle"
136,"Corey Grant, Jax",RB,29,0,0,0,0,0,0,32,164,1,0,4,35,1,0,0,0,29.0,1.0,"grant, corey"
137,"Kerwynn Williams, Ari",RB,27,0,0,0,0,0,0,18,157,2,0,1,6,0,0,0,0,32.3,0.8359133126934986,"williams, kerwynn"
138,"Kenyan Drake, Mia",RB,26,0,0,0,0,0,0,33,179,2,0,9,46,0,0,0,0,32.7,0.7951070336391437,"drake, kenyan"
139,"Peyton Barber, TB",RB,26,0,0,0,0,0,0,55,223,1,0,5,28,0,0,0,0,29.4,0.8843537414965987,"barber, peyton"
140,"Cameron Artis-Payne, Car",RB,26,0,0,0,0,0,0,36,144,2,0,1,11,0,0,0,0,35.8,0.7262569832402235,"artis-payne, cameron"
